Modality,Gender,Race_ETH,Tobacco_Ever,Afib,PVD,Statins,anyPhysicalActivity,weight
CT,M,Asian and Pacific Islander,1,0,1,0,0,5.711801533936034e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,1,0,1,0.000111063
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,1,1,0,0.000152315
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,0,1,1,1,0.000291937
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,0,0,0,4.12518999673158e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,0,0,1,0.000206259
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,0,1,0,0.000171354
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,0,1,1,0.000640991
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,1,0,0,1.2692892297635631e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,1,0,1,9.519669223226724e-06
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,1,1,0,5.711801533936034e-05
,,,,,,,,
,,,,,,,,
CT,M,Asian and Pacific Islander,1,1,1,1,1,3.4905453818497984e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,0,0,0,0.000288763
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,0,0,1,0.006302021
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,0,1,0,0.000250685
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,0,1,1,0.004267985
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,1,0,0,5.3944792264951435e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,1,0,1,9.202346915785832e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,1,1,0,5.0771569190542523e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,0,0,1,1,1,0.000101543
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,0,0,0,7.933057686022269e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,0,0,1,0.00019674
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,0,1,0,0.000111063
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,0,1,1,0.000253858
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,1,0,0,6.3464461488178154e-06
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,1,0,1,6.3464461488178154e-06
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,1,1,0,2.5385784595271262e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,0,1,1,1,1,3.4905453818497984e-05
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,0,0,0,0.000999565
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,0,0,1,0.006870028
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,0,1,0,0.001275636
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,0,1,1,0.006302021
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,1,0,0,0.000237992
,,,,,,,,
,,,,,,,,
CT,M,Black,1,0,1,0,1,0.00018722
,,,,,,,,
,,,,,,,,
